Student_ID,Name,Gender,Age,Education_Level,Employment_Status,Device_Type,Internet_Connection_Quality,Enrollment_Date,Payment_Mode,ZAge Group
"STU100774","Nikhil Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-23 00:00:00.000,"UPI","25-29"
"STU101228","Ananya Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-22 00:00:00.000,"UPI","25-29"
"STU101962","Rahul Shah","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-18 00:00:00.000,"UPI","25-29"
"STU103071","Vivaan Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-19 00:00:00.000,"UPI","25-29"
"STU103880","Rohan Shah","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-21 00:00:00.000,"UPI","25-29"
"STU105322","Priya Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-28 00:00:00.000,"UPI","25-29"
"STU107923","Arjun Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-08 00:00:00.000,"UPI","25-29"
"STU107967","Pooja Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-07 00:00:00.000,"UPI","25-29"
"STU108349","Priya Patel","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-27 00:00:00.000,"UPI","25-29"
"STU108719","Kavya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-16 00:00:00.000,"UPI","25-29"
"STU108720","Sai Desai","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-03 00:00:00.000,"UPI","25-29"
"STU111858","Neha Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-01 00:00:00.000,"UPI","25-29"
"STU112058","Neha Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-17 00:00:00.000,"UPI","25-29"
"STU113176","Sai Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-24 00:00:00.000,"UPI","25-29"
"STU114243","Vivaan Bose","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-31 00:00:00.000,"UPI","25-29"
"STU116905","Meera Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-05 00:00:00.000,"UPI","25-29"
"STU117714","Priya Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-27 00:00:00.000,"UPI","25-29"
"STU118201","Pooja Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-18 00:00:00.000,"UPI","25-29"
"STU118329","Isha Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2023-10-22 00:00:00.000,"UPI","25-29"
"STU119824","Aditya Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-22 00:00:00.000,"UPI","25-29"
"STU120044","Sakshi Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-12 00:00:00.000,"UPI","25-29"
"STU122693","Kavya Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-18 00:00:00.000,"UPI","25-29"
"STU123419","Vivaan Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-24 00:00:00.000,"UPI","25-29"
"STU126117","Kavya Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2025-06-22 00:00:00.000,"UPI","25-29"
"STU126336","Neha Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-03-05 00:00:00.000,"UPI","25-29"
"STU126562","Sai Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-27 00:00:00.000,"UPI","25-29"
"STU129277","Ananya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-05-13 00:00:00.000,"UPI","25-29"
"STU130282","Rohan Desai","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-26 00:00:00.000,"UPI","25-29"
"STU130726","Arjun Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-26 00:00:00.000,"UPI","25-29"
"STU131778","Pooja Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-04 00:00:00.000,"UPI","25-29"
"STU132192","Isha Bose","Female",27,"Bachelor","Student","Mobile","Medium",2024-03-16 00:00:00.000,"UPI","25-29"
"STU132534","Sai Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-19 00:00:00.000,"UPI","25-29"
"STU132737","Sakshi Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-05 00:00:00.000,"UPI","25-29"
"STU133840","Sneha Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-12 00:00:00.000,"UPI","25-29"
"STU140674","Nikhil Desai","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-31 00:00:00.000,"UPI","25-29"
"STU141271","Arjun Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-18 00:00:00.000,"UPI","25-29"
"STU143548","Sakshi Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-28 00:00:00.000,"UPI","25-29"
"STU145132","Ritika Desai","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-18 00:00:00.000,"UPI","25-29"
"STU145570","Sai Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-16 00:00:00.000,"UPI","25-29"
"STU147040","Ritika Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-21 00:00:00.000,"UPI","25-29"
"STU147257","Meera Verma","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-28 00:00:00.000,"UPI","25-29"
"STU150140","Sakshi Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-25 00:00:00.000,"UPI","25-29"
"STU150646","Rahul Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-05 00:00:00.000,"UPI","25-29"
"STU153138","Sai Nair","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-08 00:00:00.000,"UPI","25-29"
"STU153437","Ananya Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-11 00:00:00.000,"UPI","25-29"
"STU154233","Vihaan Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-06 00:00:00.000,"UPI","25-29"
